rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59375.67793245986,-15832.331476,36.59,9855.975459,-33.679973,54.055207,171.62996,0.198675,0.247026,0.134703,-4.888096
59375.68150509987,-15832.394854,35.47,9849.022132,-36.242254,54.06731,168.917211,0.199625,0.246267,0.132105,-4.902106
59375.68507933989,-15837.87274,34.35,9843.202083,-32.171297,54.081125,168.785469,0.197053,0.246636,0.131978,-4.902798
59375.68862480996,-15837.738933,33.24,9845.426048,-42.288164,54.12573,172.325055,0.198921,0.246816,0.135369,-4.884578
59375.69212352019,-15840.36288,32.15,9852.498277,-33.229253,54.035191,167.565543,0.19839,0.246275,0.13081,-4.909258
59375.69579268014,-15841.88904,31.0,9859.888706,-29.203218,54.034313,170.306875,0.196139,0.245674,0.133436,-4.894872
59375.69936444983,-15840.706968,29.89,9848.343828,-33.553019,54.029676,165.433778,0.198739,0.246846,0.128768,-4.920784
59375.70306519,-15839.362437,28.73,9850.213659,-33.472958,54.031817,169.875454,0.198717,0.245756,0.133022,-4.897105
59375.706591169816,-15842.165537,27.63,9852.443924,-34.254576,54.033839,169.10372,0.196358,0.245339,0.132283,-4.901128
59375.71026495984,-15844.921121,26.48,9846.440374,-33.968934,54.083796,170.47487,0.196401,0.244799,0.133597,-4.894006
59375.71380254999,-15848.28043,25.37,9839.812869,-31.13545,54.067755,167.048516,0.197333,0.246083,0.130315,-4.912026
59375.71736613009,-15841.37129,24.26,9844.641795,-37.760798,54.060069,170.653818,0.198802,0.247036,0.133768,-4.893085
59375.72110925987,-15840.223953,23.09,9851.137888,-35.16498,54.059696,167.131331,0.196818,0.248533,0.130394,-4.911581
59375.72442376008,-15839.799624,22.05,9844.704941,-38.533467,54.051076,168.715325,0.196223,0.246854,0.131911,-4.903167
59375.72819293011,-15839.674885,20.87,9840.85963,-38.422285,54.029931,169.506211,0.197469,0.245304,0.132669,-4.899025
59375.73175584013,-15838.155313,19.76,9849.579756,-35.048345,53.988927,171.104052,0.197092,0.245447,0.134199,-4.890777
59375.73535182979,-15844.666947,18.63,9847.184043,-34.482466,54.00309,173.528758,0.197609,0.245558,0.136522,-4.878552
59375.738849219866,-15845.034945,17.54,9859.98674,-39.007561,53.970948,173.324237,0.198555,0.247061,0.136326,-4.87957
59375.742407490034,-15850.384902,16.43,9864.897651,-38.366746,53.949247,171.210004,0.199778,0.246599,0.134301,-4.890236
59375.74611325981,-15851.334773,15.27,9858.331456,-33.429772,53.957961,171.861145,0.197198,0.245505,0.134924,-4.886923
59375.74971188,-15857.443323,14.14,9858.775685,-33.759071,53.969698,169.065228,0.197922,0.246324,0.132246,-4.901329
59375.75327310013,-15858.691117,13.03,9863.170768,-42.398708,53.897057,168.668858,0.198131,0.245496,0.131867,-4.903411
